ANO;LOCALIDAD;SEXO;MIGRANTE;TOTAL_NACIDOS_VIVOS;TOTAL_BPN;PROPORCIÓN
2012;00 - Bogotá;Femenino;Colombiano;51226;7148;13.95
2012;10 - Engativá;Femenino;Colombiano;4770;655;13.73
2012;07 - Bosa;Femenino;Colombiano;5108;707;13.84
2012;04 - San Cristóbal;Femenino;Colombiano;3164;499;15.77
2012;08 - Kennedy;Femenino;Colombiano;7603;1026;13.49
2012;01 - Usaquén;Femenino;Colombiano;2968;434;14.62
2012;16 - Puente Aranda;Femenino;Colombiano;1483;166;11.19
2012;14 - Los Mártires;Femenino;Colombiano;628;99;15.76
2012;11 - Suba;Femenino;Colombiano;6982;988;14.15
2012;05 - Usme;Femenino;Colombiano;2906;393;13.52
2012;19 - Ciudad Bolívar;Femenino;Colombiano;5251;726;13.83
2012;03 - Santa Fe;Femenino;Colombiano;846;120;14.18
2012;12 - Barrios Unidos;Femenino;Colombiano;847;126;14.88
2012;06 - Tunjuelito;Femenino;Colombiano;1410;180;12.77
2012;18 - Rafael Uribe Uribe;Femenino;Colombiano;2813;408;14.5
2012;13 - Teusaquillo;Femenino;Colombiano;596;100;16.78
2012;09 - Fontibón;Femenino;Colombiano;2151;268;12.46
2012;02 - Chapinero;Femenino;Colombiano;932;147;15.77
2012;15 - Antonio Nariño;Femenino;Colombiano;581;78;13.43
2012;17 - La Candelaria;Femenino;Colombiano;147;21;14.29
2012;99 - Sin Información;Femenino;Colombiano;22;6;27.27
2012;20 - Sumapaz;Femenino;Colombiano;18;1;5.56
2012;00 - Bogotá;Femenino;Extranjero;209;23;11.0
2012;11 - Suba;Femenino;Extranjero;25;2;8.0
2012;13 - Teusaquillo;Femenino;Extranjero;6;1;16.67
2012;02 - Chapinero;Femenino;Extranjero;54;8;14.81
2012;01 - Usaquén;Femenino;Extranjero;58;6;10.34
2012;03 - Santa Fe;Femenino;Extranjero;9;0;0.0
2012;18 - Rafael Uribe Uribe;Femenino;Extranjero;3;0;0.0
2012;10 - Engativá;Femenino;Extranjero;11;1;9.09
2012;12 - Barrios Unidos;Femenino;Extranjero;4;1;25.0
2012;09 - Fontibón;Femenino;Extranjero;7;0;0.0
2012;19 - Ciudad Bolívar;Femenino;Extranjero;3;1;33.33
2012;14 - Los Mártires;Femenino;Extranjero;8;1;12.5
2012;04 - San Cristóbal;Femenino;Extranjero;3;0;0.0
2012;05 - Usme;Femenino;Extranjero;1;0;0.0
2012;08 - Kennedy;Femenino;Extranjero;8;0;0.0
2012;15 - Antonio Nariño;Femenino;Extranjero;1;0;0.0
2012;07 - Bosa;Femenino;Extranjero;2;1;50.0
2012;17 - La Candelaria;Femenino;Extranjero;2;0;0.0
2012;99 - Sin Información;Femenino;Extranjero;1;0;0.0
2012;16 - Puente Aranda;Femenino;Extranjero;1;0;0.0
