Año;Área;Grupo de edad de la madre;Número de Nacimientos;Población Mujeres;Tasa
2005;Barrios Unidos;10 a 14 años;6;8068;0.74
2005;Los Mártires;10 a 14 años;10;3764;2.66
2005;Ciudad Bolívar;10 a 14 años;85;32609;2.61
2005;Bogotá;10 a 14 años;489;318561;1.54
2005;Sin Información;10 a 14 años;15;0;0
2005;Tunjuelito;10 a 14 años;18;8828;2.04
2005;Sumapaz;10 a 14 años;0;369;0
2005;Teusaquillo;10 a 14 años;3;3977;0.75
2005;La Candelaria;10 a 14 años;0;793;0
2005;Bosa;10 a 14 años;48;27071;1.77
2005;San Cristóbal;10 a 14 años;33;21782;1.52
2005;Rafael Uribe Uribe;10 a 14 años;37;19155;1.93
2005;Usme;10 a 14 años;31;17401;1.78
2005;Chapinero;10 a 14 años;7;3410;2.05
2005;Santa Fe;10 a 14 años;18;4511;3.99
2005;Usaquén;10 a 14 años;16;16683;0.96
2005;Engativá;10 a 14 años;30;34155;0.88
2005;Antonio Nariño;10 a 14 años;4;5254;0.76
2005;Puente Aranda;10 a 14 años;5;10693;0.47
2005;Suba;10 a 14 años;50;41956;1.19
2005;Kennedy;10 a 14 años;56;44693;1.25
2005;Fontibón;10 a 14 años;17;13389;1.27
2006;Usme;10 a 14 años;38;18128;2.1
2006;Sumapaz;10 a 14 años;0;338;0
2006;Fontibón;10 a 14 años;15;13959;1.07
2006;Santa Fe;10 a 14 años;26;4569;5.69
2006;Tunjuelito;10 a 14 años;12;8755;1.37
2006;Ciudad Bolívar;10 a 14 años;93;33160;2.8
2006;Los Mártires;10 a 14 años;5;3630;1.38
2006;Bogotá;10 a 14 años;544;325054;1.67
2006;Rafael Uribe Uribe;10 a 14 años;40;19114;2.09
2006;Teusaquillo;10 a 14 años;1;4024;0.25
2006;Barrios Unidos;10 a 14 años;5;7492;0.67
2006;Usaquén;10 a 14 años;25;17489;1.43
2006;Antonio Nariño;10 a 14 años;2;4960;0.4
2006;Suba;10 a 14 años;54;43956;1.23
2006;La Candelaria;10 a 14 años;2;757;2.64
2006;Sin Información;10 a 14 años;21;0;0
2006;San Cristóbal;10 a 14 años;52;21695;2.4
2006;Kennedy;10 a 14 años;69;45566;1.51
2006;Engativá;10 a 14 años;35;34198;1.02
2006;Bosa;10 a 14 años;37;29053;1.27
2006;Chapinero;10 a 14 años;2;3574;0.56
2006;Puente Aranda;10 a 14 años;10;10637;0.94
2007;Usaquén;10 a 14 años;16;18068;0.89
2007;Bosa;10 a 14 años;62;30605;2.03
2007;Sin Información;10 a 14 años;23;0;0
2007;Bogotá;10 a 14 años;526;328827;1.6
2007;San Cristóbal;10 a 14 años;56;21505;2.6
2007;Antonio Nariño;10 a 14 años;6;4682;1.28
2007;Usme;10 a 14 años;39;18652;2.09
2007;Santa Fe;10 a 14 años;12;4594;2.61
2007;Barrios Unidos;10 a 14 años;7;6956;1.01
2007;Fontibón;10 a 14 años;8;14365;0.56
2007;Teusaquillo;10 a 14 años;2;4048;0.49
2007;Engativá;10 a 14 años;29;34057;0.85
2007;Los Mártires;10 a 14 años;6;3500;1.71
2007;Sumapaz;10 a 14 años;0;309;0
2007;Suba;10 a 14 años;50;45410;1.1
2007;Tunjuelito;10 a 14 años;16;8646;1.85
2007;Ciudad Bolívar;10 a 14 años;96;33441;2.87
2007;Kennedy;10 a 14 años;62;46078;1.35
2007;La Candelaria;10 a 14 años;0;722;0
2007;Puente Aranda;10 a 14 años;6;10529;0.57
2007;Chapinero;10 a 14 años;1;3693;0.27
2007;Rafael Uribe Uribe;10 a 14 años;29;18967;1.53
2008;Sin Información;10 a 14 años;10;0;0
2008;Engativá;10 a 14 años;23;33645;0.68
2008;Chapinero;10 a 14 años;3;3760;0.8
2008;Bogotá;10 a 14 años;586;329087;1.78
2008;Kennedy;10 a 14 años;78;46124;1.69
2008;Los Mártires;10 a 14 años;7;3366;2.08
2008;Usme;10 a 14 años;60;18930;3.17
