Localidad,Trimestre,Promedio_PM25
Barrios Unidos,1,18.35906976744186
Barrios Unidos,2,13.284518828451883
Barrios Unidos,3,12.899197592778336
Barrios Unidos,4,17.14442916093535
Ciudad Bolívar,1,24.249652616952293
Ciudad Bolívar,2,16.378602833414753
Ciudad Bolívar,3,14.907163053722902
Ciudad Bolívar,4,20.47760511882998
Engativá,1,19.600850259801607
Engativá,2,13.708130289817902
Engativá,3,13.285275348617349
Engativá,4,16.42866878691504
Fontibón,1,24.39416396479852
Fontibón,2,16.259826442062277
Fontibón,3,16.478939895882633
Fontibón,4,17.732515894641235
Kennedy,1,25.120689655172413
Kennedy,2,13.923202082655386
Kennedy,3,24.276697864170867
Kennedy,4,31.017836725360166
Puente Aranda,1,20.03431486204498
Puente Aranda,2,14.914609571788413
Puente Aranda,3,12.390730067243036
Puente Aranda,4,18.05993618960802
San Cristóbal,1,21.040303461356093
San Cristóbal,2,13.879329004329005
San Cristóbal,3,12.106257378984651
San Cristóbal,4,16.60757156048015
Suba,1,17.46905089408528
Suba,2,14.568700988748722
Suba,3,12.923603374184307
Suba,4,15.41525162087064
Teusaquillo,1,20.424129930394432
Teusaquillo,2,15.751201281366791
Teusaquillo,3,13.149203283437952
Teusaquillo,4,16.922441486920604
Tunjuelito,1,19.127934834690944
Tunjuelito,2,13.776810016330975
Tunjuelito,3,14.958104738154614
Tunjuelito,4,20.557781919850886
Usaquén,1,17.090715048025615
Usaquén,2,13.07746863066012
Usaquén,3,10.409955257270694
Usaquén,4,13.734725848563968
Usme,1,18.291502532357907
Usme,2,10.987043580683157
Usme,3,8.275493421052632
Usme,4,16.207831325301203
