Localidad,Trimestre,PM25_prom_trimestre,Nacidos,Bajo_Peso,Porcentaje_Bajo_Peso,Prop_Masculino,Edad_Materna_Prom,Mort_Infantil
Barrios Unidos,1,18.35906976744186,1008.0,143.0,14.187,0.5268,29.31,10.9
Barrios Unidos,2,13.284518828451883,1008.0,143.0,14.187,0.5268,29.31,10.9
Barrios Unidos,3,12.899197592778336,1008.0,143.0,14.187,0.5268,29.31,10.9
Barrios Unidos,4,17.14442916093535,1008.0,143.0,14.187,0.5268,29.31,10.9
Ciudad Bolivar,1,24.249652616952293,,,,,,
Ciudad Bolivar,2,16.378602833414753,,,,,,
Ciudad Bolivar,3,14.907163053722902,,,,,,
Ciudad Bolivar,4,20.47760511882998,,,,,,
Engativa,1,19.600850259801607,,,,,,
Engativa,2,13.708130289817902,,,,,,
Engativa,3,13.285275348617349,,,,,,
Engativa,4,16.42866878691504,,,,,,
Fontibon,1,24.39416396479852,,,,,,
Fontibon,2,16.259826442062277,,,,,,
Fontibon,3,16.478939895882633,,,,,,
Fontibon,4,17.732515894641235,,,,,,
Kennedy,1,25.120689655172413,9014.0,1280.0,14.2,0.5144,27.72,9.8
Kennedy,2,13.923202082655386,9014.0,1280.0,14.2,0.5144,27.72,9.8
Kennedy,3,24.276697864170867,9014.0,1280.0,14.2,0.5144,27.72,9.8
Kennedy,4,31.01783672536017,9014.0,1280.0,14.2,0.5144,27.72,9.8
Puente Aranda,1,20.03431486204498,1812.0,268.0,14.79,0.4975,28.79,10.5
Puente Aranda,2,14.914609571788413,1812.0,268.0,14.79,0.4975,28.79,10.5
Puente Aranda,3,12.390730067243036,1812.0,268.0,14.79,0.4975,28.79,10.5
Puente Aranda,4,18.05993618960802,1812.0,268.0,14.79,0.4975,28.79,10.5
San Cristobal,1,21.040303461356093,,,,,,
San Cristobal,2,13.879329004329003,,,,,,
San Cristobal,3,12.106257378984653,,,,,,
San Cristobal,4,16.60757156048015,,,,,,
Suba,1,17.46905089408528,9495.0,1408.0,14.829,0.5125,28.9,8.0
Suba,2,14.568700988748722,9495.0,1408.0,14.829,0.5125,28.9,8.0
Suba,3,12.923603374184308,9495.0,1408.0,14.829,0.5125,28.9,8.0
Suba,4,15.41525162087064,9495.0,1408.0,14.829,0.5125,28.9,8.0
Teusaquillo,1,20.424129930394432,953.0,135.0,14.166,0.51,30.85,7.3
Teusaquillo,2,15.751201281366791,953.0,135.0,14.166,0.51,30.85,7.3
Teusaquillo,3,13.149203283437952,953.0,135.0,14.166,0.51,30.85,7.3
Teusaquillo,4,16.922441486920604,953.0,135.0,14.166,0.51,30.85,7.3
Tunjuelito,1,19.127934834690944,1575.0,238.0,15.111,0.5029,27.39,8.3
Tunjuelito,2,13.776810016330977,1575.0,238.0,15.111,0.5029,27.39,8.3
Tunjuelito,3,14.958104738154614,1575.0,238.0,15.111,0.5029,27.39,8.3
Tunjuelito,4,20.55778191985089,1575.0,238.0,15.111,0.5029,27.39,8.3
Usaquen,1,17.090715048025615,,,,,,
Usaquen,2,13.07746863066012,,,,,,
Usaquen,3,10.409955257270694,,,,,,
Usaquen,4,13.734725848563968,,,,,,
Usme,1,18.291502532357907,3557.0,589.0,16.559,0.5084,26.44,11.5
Usme,2,10.987043580683157,3557.0,589.0,16.559,0.5084,26.44,11.5
Usme,3,8.275493421052632,3557.0,589.0,16.559,0.5084,26.44,11.5
Usme,4,16.207831325301203,3557.0,589.0,16.559,0.5084,26.44,11.5
